DO;PRODUIT; HT ; TAX ; TTC ; DISCOUNT 
Tiaret;LTE; 25,00 ; -   ; 25,00 ; -   
Tlemcen;LTE; 92 479,42 ; 17 571,09 ; 110 050,51 ; -   
Batna;LTE; -   ; -   ; -   ; 1 107,35 
Tlemcen;VOIP; 920 260,00 ; 83 535,40 ; 1 003 795,40 ; -   
Setif;PSTN; 946 280,95 ; 68 035,38 ; 1 014 316,33 ; -   
Chlef;Specialized Line; 4 561 579,92 ; 525 447,56 ; 5 087 027,48 ; -   
Djelfa;VOIP; 620 165,00 ; 41 831,35 ; 661 996,35 ; -   
Mila;PSTN; 393,95 ; 74,85 ; 468,80 ; -   
In Salah;Specialized Line; 449 558,50 ; 42 362,12 ; 491 920,62 ; -   
Tebessa;VOIP; 1 371 076,46 ; 81 866,53 ; 1 452 942,99 ; -   
Mascara;VOIP; 150,00 ; 19,00 ; 169,00 ; 17 354,93 
Adrar;PSTN; 9 049,95 ; 38,00 ; 9 087,95 ; -   
Djanet;VOIP; 25,00 ; -   ; 25,00 ; -   
Saida;VOIP; 278 698,20 ; 23 863,66 ; 302 561,86 ; -   
Bechar;Specialized Line; 4 063 527,40 ; 131 941,21 ; 4 195 468,60 ; -   
Siege;VOIP; 16 451,69 ; 3 125,82 ; 19 577,51 ; -   
Adrar;LTE; 350,67 ; 9,50 ; 360,17 ; -   
Ouargla;LTE; 880 114,41 ; -   ; 880 114,41 ; -   
Beni Abbes;VOIP; 827 536,57 ; 157 231,79 ; 984 768,36 ; -   
El_Oued;PSTN; 14 587 821,99 ; 2 771 686,55 ; 17 359 508,54 ; -   
Medea;PSTN; 21 074 138,94 ; 4 004 086,72 ; 25 078 225,66 ; -   
El_Tarf;PSTN; 11 983 869,27 ; 2 276 935,38 ; 14 260 804,65 ; -   
Alger_Ouest;VOIP; 50 728 819,77 ; 9 638 201,51 ; 60 367 021,28 ; -   
Tiaret;PSTN; 22 673 773,99 ; 4 305 352,26 ; 26 979 126,25 ; -   
Alger_Est;PSTN; 76 310 997,90 ; 14 498 813,93 ; 90 809 811,83 ; -   
Oum_El_Bouaghi;VOIP; 7 628 055,18 ; 1 449 049,69 ; 9 077 104,87 ; -   
Ain_Temouchent;VOIP; 4 346 694,35 ; 825 872,41 ; 5 172 566,76 ; -   
Bouira;PSTN; 21 019 934,51 ; 3 993 787,61 ; 25 013 722,12 ; -   
Oran;PSTN; 57 676 548,35 ; 10 928 065,42 ; 68 604 613,77 ; -   
Guelma;VOIP; 5 345 409,95 ; 1 015 628,13 ; 6 361 038,08 ; -   
Skikda;PSTN; 14 859 659,91 ; 2 822 693,09 ; 17 682 353,00 ; -   
Medea;VOIP; 4 659 334,52 ; 885 273,76 ; 5 544 608,28 ; -   
Sidi_Bel_Abbes;PSTN; 27 778 841,68 ; 5 277 904,49 ; 33 056 746,17 ; -   
Naama;VOIP; 1 922 757,78 ; 365 039,04 ; 2 287 796,82 ; -   
Tipaza;Specialized Line; 8 940 867,00 ; 814 124,73 ; 9 754 991,73 ; -   
Ouled Djellal;PSTN; 3 573 226,96 ; 678 837,40 ; 4 252 064,36 ; -   
Biskra;VOIP; 7 055 011,34 ; 1 340 357,37 ; 8 395 368,71 ; -   
Souk_Ahras;PSTN; 13 865 817,89 ; 2 634 505,76 ; 16 500 323,65 ; -   
Sidi_Bel_Abbes;Specialized Line; 3 964 119,00 ; 633 102,61 ; 4 597 221,61 ; -   
Alger_Centre;Specialized Line; 150 515 622,24 ; 21 661 164,96 ; 172 176 787,20 ; -   
Sidi_Bel_Abbes;VOIP; 4 605 534,39 ; 875 051,72 ; 5 480 586,11 ; -   
El_Tarf;VOIP; 4 965 067,35 ; 943 268,08 ; 5 908 335,43 ; -   
Oran;Specialized Line; 62 967 444,80 ; 2 218 258,51 ; 65 185 703,31 ; -   
Tiaret;Specialized Line; 10 966 951,50 ; 1 069 424,79 ; 12 036 376,29 ; -   
M_Sila;LTE; 11 207,26 ; 190,00 ; 11 397,26 ; -   
Tindouf;Specialized Line; 546 602,08 ; 99 294,40 ; 645 896,48 ; -   
Ghardaia;Specialized Line; 5 629 900,00 ; 1 006 981,00 ; 6 636 881,00 ; -   
Skikda;LTE; 500,00 ; -   ; 500,00 ; -   
Saida;Specialized Line; 9 031 200,00 ; 613 928,00 ; 9 645 128,00 ; -   
Tamanrasset;LTE; -   ; -   ; -   ; 425 002,41 
Siege;Specialized Line; 54 462 106,10 ; 4 229 423,62 ; 58 691 529,72 ; -   
Bordj_Bou_Arreridj;PSTN; 24 468 960,69 ; 4 642 480,45 ; 29 111 441,14 ; -   
Djelfa;PSTN; 16 920 063,65 ; 3 214 717,46 ; 20 134 781,11 ; -   
Tizi_Ouzou;VOIP; 12 070 414,40 ; 2 293 378,96 ; 14 363 793,36 ; -   
Saida;PSTN; 11 265 977,05 ; 2 140 536,00 ; 13 406 513,05 ; -   
Ain_Defla;Specialized Line; 9 118 000,00 ; 706 420,00 ; 9 824 420,00 ; -   
Setif;VOIP; 18 985 570,24 ; 3 607 259,03 ; 22 592 829,27 ; -   
Tizi_Ouzou;LTE; 3 000,00 ; -   ; 3 000,00 ; 10 607,31 
Blida;VOIP; 14 654 989,47 ; 2 784 448,68 ; 17 439 438,15 ; -   
In Salah;LTE; 1 000,00 ; 190,00 ; 1 190,00 ; -   
El Meghaier;VOIP; 1 022 802,55 ; 194 332,50 ; 1 217 135,05 ; -   
Mila;VOIP; 8 347 904,33 ; 1 586 101,96 ; 9 934 006,29 ; -   
Ain_Temouchent;PSTN; 18 018 040,37 ; 3 423 427,88 ; 21 441 468,25 ; -   
Bechar;VOIP; 3 205 347,04 ; 609 016,07 ; 3 814 363,11 ; -   
Mostaganem;PSTN; 18 959 445,53 ; 3 602 295,18 ; 22 561 740,71 ; -   
